prediction,scores_1,scores_2,target
1,0.89,0.9,1
0,0.06,0.0,0
1,0.71,0.6,0
1,1.0,0.7,1
1,1.0,1.0,1
1,0.99,1.0,1
1,0.85,0.4,1
1,1.0,1.0,1
0,0.0,0.0,0
0,0.0,0.2,0
0,0.0,0.0,0
1,0.93,1.0,1
0,0.0,0.0,0
1,0.99,1.0,1
0,0.0,0.0,0
0,0.04,0.4,1
1,1.0,1.0,1
0,0.0,0.0,0
0,0.0,0.1,0
1,0.97,1.0,1
1,0.99,1.0,1
1,0.98,1.0,1
1,0.95,0.7,1
1,1.0,1.0,1
1,0.98,1.0,1
0,0.0,0.0,0
1,0.99,1.0,1
0,0.0,0.0,0
0,0.01,0.0,0
1,0.94,1.0,1
0,0.14,0.2,0
0,0.0,0.0,0
1,0.99,1.0,1
1,0.99,1.0,1
0,0.03,0.1,0
1,0.99,1.0,1
1,1.0,1.0,1
0,0.0,0.0,0
0,0.0,0.0,0
1,0.99,1.0,1
0,0.0,0.0,0
1,0.98,1.0,1
1,0.92,1.0,1
0,0.0,0.0,0
1,1.0,1.0,1
0,0.0,0.0,0
0,0.0,0.0,0
1,1.0,1.0,1
1,1.0,1.0,1
1,0.99,1.0,1
0,0.0,0.0,0
0,0.0,0.4,0
1,1.0,1.0,1
0,0.0,0.0,0
1,0.98,1.0,1
1,0.99,1.0,1
0,0.0,0.2,0
0,0.0,0.0,0
0,0.0,0.0,0
1,0.97,1.0,1
0,0.22,0.7,1
0,0.0,0.0,0
1,1.0,1.0,1
1,0.95,1.0,1
1,0.99,1.0,1
1,1.0,1.0,1
0,0.42,0.6,1
1,1.0,1.0,1
0,0.0,0.0,0
1,0.98,0.4,1
1,0.97,0.8,1
1,0.98,0.9,1
1,0.89,0.9,1
1,0.99,1.0,1
0,0.02,0.2,0
1,1.0,1.0,1
1,1.0,1.0,1
1,0.94,0.8,1
1,0.82,0.5,1
0,0.49,0.5,0
1,1.0,1.0,1
0,0.0,0.0,0
1,1.0,1.0,1
0,0.0,0.0,0
1,1.0,1.0,1
1,0.67,0.2,0
0,0.0,0.0,0
0,0.0,0.0,0
1,1.0,1.0,1
1,0.57,0.7,0
1,0.98,1.0,1
0,0.0,0.0,0
1,0.94,0.9,1
0,0.0,0.0,0
1,0.87,1.0,1
1,0.99,1.0,1
0,0.0,0.0,0
0,0.0,0.0,0
1,1.0,1.0,1
0,0.03,0.0,0
1,1.0,1.0,1
0,0.0,0.0,0
1,0.97,1.0,1
1,1.0,1.0,1
1,1.0,1.0,1
1,1.0,1.0,1
1,1.0,0.9,1
0,0.0,0.0,0
0,0.01,0.4,0
0,0.33,0.3,0
1,0.92,1.0,1
1,0.99,1.0,1
1,1.0,1.0,1
1,1.0,1.0,1
0,0.0,0.0,0
1,1.0,1.0,1
1,0.52,0.6,1
1,1.0,1.0,1
1,1.0,0.9,1
1,1.0,1.0,1
1,0.95,1.0,1
0,0.04,0.1,0
0,0.0,0.0,0
1,0.99,0.9,1
0,0.0,0.0,0
1,1.0,1.0,1
0,0.29,0.2,0
1,0.93,1.0,1
1,0.98,1.0,1
1,0.99,1.0,1
1,1.0,1.0,1
1,1.0,1.0,1
1,1.0,1.0,1
0,0.01,0.0,0
1,1.0,1.0,1
1,1.0,1.0,1
1,0.97,1.0,1
1,1.0,1.0,1
0,0.0,0.0,0
1,0.98,0.6,1
1,0.84,1.0,0
0,0.0,0.0,0
0,0.08,0.7,0
1,0.99,0.9,1
1,0.85,0.8,1
1,0.97,1.0,1
1,0.99,1.0,1
1,0.82,0.1,0
1,1.0,1.0,1
0,0.07,0.4,0
0,0.0,0.0,0
1,1.0,1.0,1
0,0.0,0.1,0
1,1.0,1.0,1
1,1.0,1.0,1
0,0.0,0.0,0
0,0.0,0.0,0
1,0.98,1.0,1
1,0.69,0.4,0
1,0.93,1.0,1
0,0.0,0.0,0
0,0.0,0.0,0
1,0.98,1.0,1
1,1.0,0.9,1
0,0.1,0.2,1
1,0.91,0.9,1
0,0.0,0.0,0
1,1.0,1.0,1
1,1.0,1.0,1
1,0.94,0.8,1
1,1.0,1.0,1
1,0.98,1.0,1
0,0.0,0.0,0
1,0.76,0.5,0
1,1.0,1.0,1
1,0.99,0.9,1
1,0.99,1.0,1
1,1.0,1.0,1
0,0.0,0.0,0
1,1.0,1.0,1
1,0.95,1.0,1
0,0.15,0.0,0
1,1.0,1.0,1
1,0.98,1.0,1
1,1.0,1.0,1
1,0.99,1.0,1
1,1.0,1.0,1
1,0.96,1.0,1
